图鉴ID	物件ID	SceneID	GroupID	ConfigID	景观名称$text_name_Name	描述$text_name_Desc	图片	城市ID	区域ID	序号	已废弃	解锁才显示
70200001	70800028	3	133102011	11001	远眺高车之所	端坐荻花洲南端的客栈，似乎也承担着客栈以外的使命。据说望舒客栈的楼阁是恋人共约赏月的胜地。坊间有传说道，纵然贵为仙人者，偶尔也会在此沐浴清冷的月光…	UI_Codex_Scenery_LYwangshukezhan	2	2504	105		
70200002	70800028	3	133102012	12001	轻策山间	高大的轻策山慈悲地怀抱着安乐无虞的村庄，静静守护着其中的老者、孩童与丰饶的田地。而山下镇压着古老妖异的传说早已同讲述者一齐老去，亦不复归。	UI_Codex_Scenery_LYqingcezhuang	2	2507	108		
70200003	70800028	3	133102014	14001	水泽荻原	此间是沙沙作响的荻草与蛙声和鸣之地，也是古代无数侠客最后的安息之所。	UI_Codex_Scenery_LYdihuazhou	2	2503	106		
70200004	70800028	3	133103568	568001	千峰绝云之间	传说仙家寄寓此间千百石峰与翻腾云霭之间。是凡骨之躯难以企及的地方。	UI_Codex_Scenery_LYjueyunjian	2	2601	109		
70200005	70800028	3	133103569	569001	雾海中的石林	云中有如亭阁般耸立的石峰。纵使知晓此间绝非凡人应当涉足之地，这样的华光雾海也会有如漩涡一般，吸引着憧憬天空、憧憬仙居之人吧。	UI_Codex_Scenery_LYhuaguanglin	2	2602	111		
70200006	70800028	3	133103573	573001	沐浴月光之树	枝头流淌着清冷的月光的奇树。深入地心的根系末端，是否又连结着某种等待着再次沐浴月光的悠古之物呢…	UI_Codex_Scenery_LYnantianmen	2	2605	110		
70200007	70800028	3	133104691	691001	归离城墟	曾经盛开着某种花卉的繁华城集。但美梦最终醒转，乐土终究毁于乱世，归人复离。	UI_Codex_Scenery_LYguiliyuan	2	2505	107		
70200008	70800028	3	133104692	692001	盈泪的故园	传说是深情清澈的相思盈满了旧日的园圃，造就了渌华池如今的景象。	UI_Codex_Scenery_LYluhuachi	2	2509	112		
70200009	70800028	3	133104693	693001	靖世九柱	浅眠在翠玦坡的山谷深处的，传说祓除妖异、靖却世间邪妄的九柱石锁。	UI_Codex_Scenery_LYjingshijiuzhu	2	2607	117		
70200010	70800028	3	133106321	321001	青墟孤楼	矗立在青潭之间的荒废城楼。如今依旧守护着早已化为土灰的高傲过往。	UI_Codex_Scenery_LYqingxupu	2	2803	116		
70200011	70800028	3	133106322	322001	遁玉古陵	「美玉遁藏之地」。但昔日发生在此地的战争早已结束，因玉而辉的古陵早已毁灭。如今只有流水之声陌陌低语。	UI_Codex_Scenery_LYdunyuling	2	2801	115		
70200012	70800028	3	133106323	323001	层岩巨渊外	连接璃月港与名为层岩巨渊的巨大矿坑的中转站，近来因为层岩巨渊深处的某种变故而停止运作。	UI_Codex_Scenery_LYkuangchang	2	2804	114		
70200013	70800028	3	133107130	130001	千船万商云集之地	千帆汇集的繁荣海港。在无数契约规约之下，百货迭出，宝飨七国。欢迎来到璃月，遍行四方的旅人。	UI_Codex_Scenery_LYliyuegang	2	2701	101		
70200014	70800028	3	133107131	131001	玉京台	远离嚣闹的港口，依着天衡山高高升起。「七星」与诸商会的首脑，在此驱动着璃月驶向无止境的平稳与繁华。	UI_Codex_Scenery_LYyujingtai	2	2701	104		
70200015	70800028	3	133107132	132001	吃虎岩	璃月港永远搏动的心脏，为之输送活力十足的血液。此处忙碌热闹的市井景象，正是璃月港无限生机之所在。	UI_Codex_Scenery_LYchihuyan	2	2701	103		
70200016	70800028	3	133107133	133001	绯云坡	诸商行兴隆发达，居民富足无忧的繁华之所，灯火熙熙攘攘，长明不灭。	UI_Codex_Scenery_LYfeiyunpo	2	2701	102		
70200017	70800028	3	133108149	149001	瀚海孤云	传说是帝君镇压海中妖物留下的孤傲石峰。据说，心神敏感者偶然会在睡梦中听见，磐岩镇压的海床深处传来的某种律动。	UI_Codex_Scenery_LYguyunge	2	2703	113		
